ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	17	13566	0	5376	18942	0.070717	openai/gpt-5.1
2	9	9732	0	4040	13772	0.052565	openai/gpt-5.1
3	10	5602	0	2552	8154	0.032523	openai/gpt-5.1
4	18	25004	0	6502	31506	0.096275	openai/gpt-5.1
5	30	14960	0	7132	22092	0.090020	openai/gpt-5.1
6	3	2604	0	1371	3975	0.016965	openai/gpt-5.1
7	1	375	0	88	463	0.001349	openai/gpt-5.1
8	3	4026	0	1757	5783	0.022602	openai/gpt-5.1
9	3	3184	0	1522	4706	0.019200	openai/gpt-5.1
10	2	1345	0	666	2011	0.008341	openai/gpt-5.1
11	2	1386	0	738	2124	0.009113	openai/gpt-5.1
12	2	1472	0	667	2139	0.008510	openai/gpt-5.1
13	2	2032	0	981	3013	0.012350	openai/gpt-5.1
14	2	1131	0	508	1639	0.006494	openai/gpt-5.1
15	4	2535	0	1252	3787	0.015689	openai/gpt-5.1
16	2	1210	0	505	1715	0.006563	openai/gpt-5.1
17	4	2789	0	1739	4528	0.020876	openai/gpt-5.1
18	21	28386	1280	11361	41027	0.149253	openai/gpt-5.1
19	3	6862	0	1386	8248	0.022438	openai/gpt-5.1
20	14	141546	0	6455	148001	0.241483	openai/gpt-5.1
21	3	2880	0	902	3782	0.012620	openai/gpt-5.1
22	2	1514	0	506	2020	0.006953	openai/gpt-5.1
23	38	77534	3456	19341	100331	0.290760	openai/gpt-5.1
24	3	2792	0	917	3709	0.012660	openai/gpt-5.1
25	9	3876	0	1348	5224	0.018325	openai/gpt-5.1
26	38	33958	0	13249	47207	0.174938	openai/gpt-5.1
27	38	300	3968	1264	5532	0.013511	openai/gpt-5.1
28	46	230534	0	20438	250972	0.492548	openai/gpt-5.1
29	24	74532	0	10585	85117	0.199015	openai/gpt-5.1
30	20	10375	0	3241	13616	0.045379	openai/gpt-5.1
31	22	109902	0	8010	117912	0.217478	openai/gpt-5.1
32	8	29964	0	2319	32283	0.060645	openai/gpt-5.1
33	8	36584	0	1192	37776	0.057650	openai/gpt-5.1
34	34	87839	0	39660	127499	0.506399	openai/gpt-5.1
35	0	0	0	0	0	0.000000	openai/gpt-5.1
36	5	2422	0	1344	3766	0.016468	openai/gpt-5.1
37	51	914605	0	25539	940144	1.398646	openai/gpt-5.1
38	15	8468	0	2338	10806	0.033965	openai/gpt-5.1
39	35	35655	0	9596	45251	0.140529	openai/gpt-5.1
40	14	0	0	0	0	0.000000	openai/gpt-5.1
41	51	257254	0	22754	280008	0.549108	openai/gpt-5.1
42	15	28595	0	6929	35524	0.105034	openai/gpt-5.1
43	9	9007	0	4353	13360	0.054789	openai/gpt-5.1
44	2	624	0	494	1118	0.005720	openai/gpt-5.1
45	37	135799	0	15511	151310	0.324859	openai/gpt-5.1
46	2	1282	0	541	1823	0.007013	openai/gpt-5.1
47	51	958355	10496	25277	994128	1.452026	openai/gpt-5.1
48	8	3544	0	1687	5231	0.021300	openai/gpt-5.1
49	48	86387	5760	23373	115520	0.342434	openai/gpt-5.1
50	33	37909	0	11953	49862	0.166916	openai/gpt-5.1
51	20	45439	0	8942	54381	0.146219	openai/gpt-5.1
52	0	0	0	0	0	0.000000	openai/gpt-5.1
53	6	3152	0	1255	4407	0.016490	openai/gpt-5.1
